"Year","Neighbourhood","Crimes"
2006-01-01,"Buena Vista  (NBHD)",460
2006-01-01,"Hudson Bay Park  (NBHD)",444
2006-01-01,"Haultain  (NBHD)",420
2006-01-01,"Lawson Heights Suburban Centre  (NBHD)",412
2006-01-01,"Lawson Heights  (NBHD)",399
2006-01-01,"College Park East  (NBHD)",383
2006-01-01,"Nutana Suburban Centre  (NBHD)",380
2006-01-01,"Central Industrial  (NBHD)",378
2006-01-01,"River Heights  (NBHD)",356
2006-01-01,"Grosvenor Park  (NBHD)",348
2006-01-01,"Holiday Park  (NBHD)",344
2006-01-01,"Avalon  (NBHD)",343
2006-01-01,"Queen Elizabeth  (NBHD)",338
2006-01-01,"Adelaide/Churchill  (NBHD)",327
2006-01-01,"U of S Mgmt Area  (NBHD)",288
2006-01-01,"Eastview  (NBHD)",232
2006-01-01,"Nutana Park  (NBHD)",232
2006-01-01,"Arbor Creek  (NBHD)",229
2006-01-01,"Hudson Bay Industrial  (NBHD)",224
2006-01-01,"Montgomery Place  (NBHD)",218
2006-01-01,"North Park  (NBHD)",216
2006-01-01,"Erindale  (NBHD)",205
2006-01-01,"University Heights Suburban Centre  (NBHD)",171
2006-01-01,"West Industrial  (NBHD)",167
2006-01-01,"Lakeridge  (NBHD)",160
2006-01-01,"Sutherland Industrial  (NBHD)",154
2006-01-01,"Briarwood  (NBHD)",134
2006-01-01,"Agriplace  (NBHD)",126
2006-01-01,"South West Industrial  (NBHD)",108
2006-01-01,"Silverspring  (NBHD)",107
2006-01-01,"Marquis Industrial  (NBHD)",84
2006-01-01,"CN Industrial  (NBHD)",80
2006-01-01,"Richmond Heights  (NBHD)",60
2006-01-01,"Blairmore Development Area  (NBHD)",50
2006-01-01,"Airport Mgmt Area  (NBHD)",46
2006-01-01,"Lakewood Suburban Centre  (NBHD)",38
2006-01-01,"U of S Lands - North Mgmt Area  (NBHD)",38
2006-01-01,"U of S Lands - South Mgmt Area  (NBHD)",38
2006-01-01,"Gordie Howe Mgmt Area  (NBHD)",28
2006-01-01,"Stonebridge  (NBHD)",22
2006-01-01,"Hampton Village  (NBHD)",16
2006-01-01,"Willowgrove  (NBHD)",16
2006-01-01,"Blairmore Suburban Centre  (NBHD)",12
2006-01-01,"Diefenbaker Mgmt Area  (NBHD)",8
2006-01-01,"The Willows  (NBHD)",4
2006-01-01,"University Heights Development Area  (NBHD)",4
2006-01-01,"SaskPower Mgmt Area  (NBHD)",2
2006-01-01,"Agpro Industrial  (NBHD)",0
2006-01-01,"CN Yards Mgmt Area  (NBHD)",0
2006-01-01,"SE Development Area  (NBHD)",0
2006-01-01,"Rosewood  (NBHD)",0
2006-01-01,"Silverwood Industrial  (NBHD)",0
2007-01-01,"Central Business District  (NBHD)",3191
2007-01-01,"Pleasant Hill  (NBHD)",3119
2007-01-01,"Riversdale  (NBHD)",2132
2007-01-01,"Caswell Hill  (NBHD)",1454
2007-01-01,"Mount Royal  (NBHD)",1400
2007-01-01,"Confederation Suburban Centre  (NBHD)",1320
2007-01-01,"Mayfair  (NBHD)",1169
2007-01-01,"Nutana  (NBHD)",1153
2007-01-01,"Meadowgreen  (NBHD)",1096
2007-01-01,"Confederation Park  (NBHD)",1079
2007-01-01,"Westmount  (NBHD)",1001
2007-01-01,"City Park  (NBHD)",819
2007-01-01,"Sutherland  (NBHD)",767
2007-01-01,"Massey Place  (NBHD)",731
2007-01-01,"King George  (NBHD)",684
2007-01-01,"College Park  (NBHD)",671
2007-01-01,"Exhibition  (NBHD)",627
2007-01-01,"Silverwood Heights  (NBHD)",599
2007-01-01,"Wildwood  (NBHD)",586
2007-01-01,"North Industrial  (NBHD)",574
2007-01-01,"Forest Grove  (NBHD)",556
2007-01-01,"Varsity View  (NBHD)",556
2007-01-01,"Airport Business Area  (NBHD)",536
2007-01-01,"Kelsey - Woodlawn  (NBHD)",508
2007-01-01,"Fairhaven  (NBHD)",505
2007-01-01,"Buena Vista  (NBHD)",487
2007-01-01,"Haultain  (NBHD)",449
2007-01-01,"Holliston  (NBHD)",442
2007-01-01,"Pacific Heights  (NBHD)",440
2007-01-01,"Brevoort Park  (NBHD)",432
2007-01-01,"Greystone Heights  (NBHD)",431
2007-01-01,"Central Industrial  (NBHD)",416
2007-01-01,"Nutana Suburban Centre  (NBHD)",402
2007-01-01,"Lakeview  (NBHD)",370
2007-01-01,"Parkridge  (NBHD)",368
2007-01-01,"Dundonald  (NBHD)",364
2007-01-01,"Westview  (NBHD)",354
2007-01-01,"Hudson Bay Park  (NBHD)",352
2007-01-01,"Grosvenor Park  (NBHD)",348
2007-01-01,"College Park East  (NBHD)",338
2007-01-01,"Queen Elizabeth  (NBHD)",335
2007-01-01,"Lawson Heights  (NBHD)",333
2007-01-01,"Avalon  (NBHD)",324
2007-01-01,"Lawson Heights Suburban Centre  (NBHD)",306
2007-01-01,"U of S Mgmt Area  (NBHD)",284
2007-01-01,"Adelaide/Churchill  (NBHD)",282
2007-01-01,"Holiday Park  (NBHD)",275
2007-01-01,"River Heights  (NBHD)",272
2007-01-01,"Nutana Park  (NBHD)",233
2007-01-01,"North Park  (NBHD)",224
2007-01-01,"Hudson Bay Industrial  (NBHD)",214
2007-01-01,"Erindale  (NBHD)",192
2007-01-01,"Eastview  (NBHD)",175
2007-01-01,"Montgomery Place  (NBHD)",171
2007-01-01,"Silverspring  (NBHD)",168
2007-01-01,"University Heights Suburban Centre  (NBHD)",168
2007-01-01,"Sutherland Industrial  (NBHD)",164
2007-01-01,"Agriplace  (NBHD)",156
2007-01-01,"Lakeridge  (NBHD)",156
2007-01-01,"Marquis Industrial  (NBHD)",154
2007-01-01,"West Industrial  (NBHD)",154
2007-01-01,"Arbor Creek  (NBHD)",124
2007-01-01,"Briarwood  (NBHD)",112
2007-01-01,"Stonebridge  (NBHD)",98
2007-01-01,"Lakewood Suburban Centre  (NBHD)",78
2007-01-01,"Hampton Village  (NBHD)",76
2007-01-01,"South West Industrial  (NBHD)",76
2007-01-01,"U of S Lands - South Mgmt Area  (NBHD)",66
2007-01-01,"Richmond Heights  (NBHD)",56
2007-01-01,"CN Industrial  (NBHD)",50
2007-01-01,"Airport Mgmt Area  (NBHD)",48
2007-01-01,"U of S Lands - North Mgmt Area  (NBHD)",44
2007-01-01,"Blairmore Development Area  (NBHD)",40
2007-01-01,"Willowgrove  (NBHD)",32
2007-01-01,"Gordie Howe Mgmt Area  (NBHD)",28
2007-01-01,"Blairmore Suburban Centre  (NBHD)",14
2007-01-01,"Agpro Industrial  (NBHD)",6
2007-01-01,"SaskPower Mgmt Area  (NBHD)",6
2007-01-01,"Diefenbaker Mgmt Area  (NBHD)",4
2007-01-01,"The Willows  (NBHD)",4
2007-01-01,"University Heights Development Area  (NBHD)",4
2007-01-01,"CN Yards Mgmt Area  (NBHD)",0
2007-01-01,"SE Development Area  (NBHD)",0
2007-01-01,"Rosewood  (NBHD)",0
2007-01-01,"Silverwood Industrial  (NBHD)",0
2008-01-01,"Pleasant Hill  (NBHD)",2658
2008-01-01,"Central Business District  (NBHD)",2648
2008-01-01,"Riversdale  (NBHD)",1568
2008-01-01,"Caswell Hill  (NBHD)",1239
2008-01-01,"Mount Royal  (NBHD)",1234
2008-01-01,"Confederation Suburban Centre  (NBHD)",1108
2008-01-01,"Mayfair  (NBHD)",1060
2008-01-01,"Meadowgreen  (NBHD)",1012
2008-01-01,"Nutana  (NBHD)",983
2008-01-01,"Confederation Park  (NBHD)",942
2008-01-01,"Westmount  (NBHD)",882
2008-01-01,"City Park  (NBHD)",815
2008-01-01,"Sutherland  (NBHD)",796
2008-01-01,"Wildwood  (NBHD)",654
2008-01-01,"Massey Place  (NBHD)",647
2008-01-01,"College Park  (NBHD)",636
2008-01-01,"King George  (NBHD)",632
2008-01-01,"Forest Grove  (NBHD)",568
2008-01-01,"Greystone Heights  (NBHD)",557
2008-01-01,"North Industrial  (NBHD)",554
2008-01-01,"Airport Business Area  (NBHD)",526
2008-01-01,"Varsity View  (NBHD)",508
2008-01-01,"Fairhaven  (NBHD)",507
2008-01-01,"Central Industrial  (NBHD)",504
2008-01-01,"Kelsey - Woodlawn  (NBHD)",498
2008-01-01,"Exhibition  (NBHD)",482
2008-01-01,"Westview  (NBHD)",460
2008-01-01,"Dundonald  (NBHD)",453
2008-01-01,"Pacific Heights  (NBHD)",452
2008-01-01,"Holliston  (NBHD)",436
2008-01-01,"Hudson Bay Park  (NBHD)",436
2008-01-01,"Brevoort Park  (NBHD)",421
2008-01-01,"Buena Vista  (NBHD)",406
2008-01-01,"Lakeview  (NBHD)",398
2008-01-01,"Haultain  (NBHD)",390
2008-01-01,"Nutana Suburban Centre  (NBHD)",381
2008-01-01,"Silverwood Heights  (NBHD)",378
2008-01-01,"College Park East  (NBHD)",348
2008-01-01,"Parkridge  (NBHD)",344
2008-01-01,"Lawson Heights Suburban Centre  (NBHD)",328
2008-01-01,"Queen Elizabeth  (NBHD)",326
2008-01-01,"Grosvenor Park  (NBHD)",303
2008-01-01,"U of S Mgmt Area  (NBHD)",298
2008-01-01,"River Heights  (NBHD)",290
2008-01-01,"Avalon  (NBHD)",278
2008-01-01,"Lawson Heights  (NBHD)",269
2008-01-01,"Erindale  (NBHD)",261
2008-01-01,"University Heights Suburban Centre  (NBHD)",240
2008-01-01,"Hudson Bay Industrial  (NBHD)",234
2008-01-01,"Holiday Park  (NBHD)",226
2008-01-01,"Eastview  (NBHD)",218
2008-01-01,"Adelaide/Churchill  (NBHD)",212
2008-01-01,"Montgomery Place  (NBHD)",206
2008-01-01,"Stonebridge  (NBHD)",192
2008-01-01,"North Park  (NBHD)",184
2008-01-01,"Silverspring  (NBHD)",182
2008-01-01,"Arbor Creek  (NBHD)",172
2008-01-01,"Briarwood  (NBHD)",168
2008-01-01,"Lakeridge  (NBHD)",166
2008-01-01,"Nutana Park  (NBHD)",164
2008-01-01,"Marquis Industrial  (NBHD)",150
2008-01-01,"Agriplace  (NBHD)",140
2008-01-01,"Sutherland Industrial  (NBHD)",124
2008-01-01,"West Industrial  (NBHD)",118
2008-01-01,"Lakewood Suburban Centre  (NBHD)",116
2008-01-01,"Hampton Village  (NBHD)",112
2008-01-01,"CN Industrial  (NBHD)",106
2008-01-01,"U of S Lands - North Mgmt Area  (NBHD)",88
2008-01-01,"Willowgrove  (NBHD)",86
2008-01-01,"Richmond Heights  (NBHD)",82
2008-01-01,"South West Industrial  (NBHD)",76
2008-01-01,"Airport Mgmt Area  (NBHD)",46
2008-01-01,"U of S Lands - South Mgmt Area  (NBHD)",42
2008-01-01,"Blairmore Development Area  (NBHD)",38
2008-01-01,"Gordie Howe Mgmt Area  (NBHD)",30
2008-01-01,"Blairmore Suburban Centre  (NBHD)",26
2008-01-01,"The Willows  (NBHD)",14
2008-01-01,"Agpro Industrial  (NBHD)",6
2008-01-01,"University Heights Development Area  (NBHD)",4
2008-01-01,"Diefenbaker Mgmt Area  (NBHD)",2
2008-01-01,"SE Development Area  (NBHD)",2
2008-01-01,"CN Yards Mgmt Area  (NBHD)",0
2008-01-01,"SaskPower Mgmt Area  (NBHD)",0
2008-01-01,"Rosewood  (NBHD)",0
2008-01-01,"Silverwood Industrial  (NBHD)",0
2009-01-01,"Central Business District  (NBHD)",2742
2009-01-01,"Pleasant Hill  (NBHD)",2542
2009-01-01,"Riversdale  (NBHD)",1317
2009-01-01,"Confederation Suburban Centre  (NBHD)",1272
